Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z
19557826,1711936091,2024-04-01 01:48:11,0.5730006930218822,0,1766.7814811156,0.002599344,8.01477711663705,3505.52,0.5730006930218822,0.5730006930218822,0.5756000380218821,0.0,0.0,0.2188769731537517,0.2188769731537517,0.21745652280739453,-0.7720706989145539,-0.7729268195142854
19557826,1711936091,2024-04-01 01:48:11,0.0,0,0.0,0.0024505280581526,7.55592034150126,3505.52,0.0,0.0,0.0024505290581526,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21967505913865215,-0.7720706989145539,-0.7729268195142854
19557827,1711936103,2024-04-01 01:48:23,0.0,0,0.0,0.0028983407449749,8.93669905908645,3505.52,0.0,0.0,0.0028983417449749,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.2193335198628704,0.26845584948780987,0.2838503468984646
19557827,1711936103,2024-04-01 01:48:23,0.0,0,0.0,0.0046861952170387,14.4493419068873,3505.52,0.0,0.0,0.0046861962170387005,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2179699530422766,-0.7720706989145539,-0.7729268195142854
19557828,1711936115,2024-04-01 01:48:35,0.0,0,0.0,0.0022422968562735,6.91386347184856,3505.52,0.0,0.0,0.0022422978562735,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.2198338736072408,0.26845584948780987,0.2838503468984646
19557828,1711936115,2024-04-01 01:48:35,0.2,0,616.676908992196,0.0030190233203899,9.30880984696723,3505.52,0.2,0.2,0.2030190243203899,0.0,0.0,-0.06606840705657645,-0.06606840705657645,-0.06670480922770217,-0.7720706989145539,-0.7729268195142854
19557830,1711936139,2024-04-01 01:48:59,0.0,0,0.0,0.00231843203553,7.14861750689581,3505.52,0.0,0.0,0.00231843303553,24.0,2.0,-0.21885384984051884,-0.21885384984051884,-0.21977580657441667,1.3089823978901738,1.3406275133112147
19557830,1711936139,2024-04-01 01:48:59,0.25,0,770.846136240245,0.0032093553764429,9.89567676701147,3505.52,0.25,0.25,0.25320935637644293,0.0,0.0,-0.02787204636059086,-0.02787204636059086,-0.028425479128078458,-0.7720706989145539,-0.7729268195142854
19557830,1711936139,2024-04-01 01:48:59,0.0,0,0.0,0.0004606648937999,1.4204070139489,3505.52,0.0,0.0,0.0004606658937999,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.22119269462343574,-0.7720706989145539,-0.7729268195142854
19557831,1711936151,2024-04-01 01:49:11,0.0,0,0.0,0.0044222075677172,13.6353664689089,3505.52,0.0,0.0,0.0044222085677172,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21817129202443986,0.26845584948780987,0.2838503468984646
19557831,1711936151,2024-04-01 01:49:11,1.20240990568676,0,3707.49211990255,0.0049683050996014,15.3191951587619,3505.52,1.20240990568676,1.20240990568676,1.2073782117863616,0.0,0.0,0.6996997994002314,0.6996997994002314,0.6993032106567392,-0.7720706989145539,-0.7729268195142854
19557831,1711936151,2024-04-01 01:49:11,0.0,0,0.0,0.0026243180246299,8.09178163820657,3505.52,0.0,0.0,0.0026243190246299,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21954251242652126,-0.7720706989145539,-0.7729268195142854
19557831,1711936151,2024-04-01 01:49:11,0.0,0,0.0,0.0023216834677506,7.1586429227539,3505.52,0.0,0.0,0.0023216844677506,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21977332676123013,-0.7720706989145539,-0.7729268195142854
19557831,1711936151,2024-04-01 01:49:11,0.0,0,0.0,0.0030968560370636,9.54879804265131,3505.52,0.0,0.0,0.0030968570370635998,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.219182115556814,-0.7720706989145539,-0.7729268195142854
19557834,1711936187,2024-04-01 01:49:47,0.55,0,1695.86149972854,0.0031517090831847,9.71793107730485,3505.52,0.55,0.55,0.5531517100831848,36.0,3.0,0.20130611781532273,0.20130611781532273,0.20033555707259287,2.3495089462925374,2.397404679723965
19557834,1711936187,2024-04-01 01:49:47,0.0,0,0.0,0.000614488442135,1.89470416553633,3505.52,0.0,0.0,0.000614489442135,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.22107537596578594,-0.7720706989145539,-0.7729268195142854
19557834,1711936187,2024-04-01 01:49:47,1.992,0,6142.10201356227,0.0006100853841689,1.88112784465323,3505.52,1.992,1.992,1.992610086384169,0.0,0.0,1.3028891602875472,1.3028891602875472,1.2981864796278741,-0.7720706989145539,-0.7729268195142854
19557835,1711936199,2024-04-01 01:49:59,0.1,0,308.338454496098,0.0031879695509354,9.82973604316066,3505.52,0.1,0.1,0.1031879705509354,12.0,1.0,-0.14246112844854764,-0.14246112844854764,-0.14284429077499267,0.26845584948780987,0.2838503468984646
19557835,1711936199,2024-04-01 01:49:59,0.3,0,925.015363488294,0.0031158246447198,9.60728555433779,3505.52,0.3,0.3,0.30311582564471984,0.0,0.0,0.010324314335394725,0.010324314335394725,0.009637353552397948,-0.7720706989145539,-0.7729268195142854
19557836,1711936211,2024-04-01 01:50:11,0.2,0,616.676908992196,0.0026481139881955,8.16515374449718,3505.52,0.2,0.2,0.20264811498819552,12.0,1.0,-0.06606840705657645,-0.06606840705657645,-0.06698769559610163,0.26845584948780987,0.2838503468984646
19557836,1711936211,2024-04-01 01:50:11,0.0,0,0.0,0.0055137855744217,17.0011212244009,3505.52,0.0,0.0,0.0055137865744217,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21733876366416788,-0.7720706989145539,-0.7729268195142854
19557836,1711936211,2024-04-01 01:50:11,0.0,0,0.0,0.0040473280284099,12.4794686911865,3505.52,0.0,0.0,0.0040473290284099,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2184572064036616,-0.7720706989145539,-0.7729268195142854
19557836,1711936211,2024-04-01 01:50:11,0.0,0,0.0,0.0043147136732477,13.3039214560238,3505.52,0.0,0.0,0.0043147146732477005,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21825327582692788,-0.7720706989145539,-0.7729268195142854
19557837,1711936223,2024-04-01 01:50:23,0.0,0,0.0,0.0039811081810824,12.2752874373673,3505.52,0.0,0.0,0.0039811091810824,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21850771117801063,0.26845584948780987,0.2838503468984646
19557837,1711936223,2024-04-01 01:50:23,0.0,0,0.0,0.0050275296135743,15.5018071098289,3505.52,0.0,0.0,0.0050275306135743,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21770962298459237,-0.7720706989145539,-0.7729268195142854
19557840,1711936259,2024-04-01 01:50:59,0.0,0,0.0,0.003581158759001,11.0420895705554,3505.52,0.0,0.0,0.003581159759001,36.0,3.0,-0.21885384984051884,-0.21885384984051884,-0.21881274593916564,2.3495089462925374,2.397404679723965
19557840,1711936259,2024-04-01 01:50:59,0.3,0,925.015363488294,0.0030543346109899,9.41768813466575,3505.52,0.3,0.3,0.30305433561098993,0.0,0.0,0.010324314335394725,0.010324314335394725,0.00959045612808214,-0.7720706989145539,-0.7729268195142854
19557842,1711936283,2024-04-01 01:51:23,0.2,0,616.676908992196,0.0027048606225992,8.34012543999599,3505.52,0.2,0.2,0.2027048616225992,24.0,2.0,-0.06606840705657645,-0.06606840705657645,-0.06694441588342796,1.3089823978901738,1.3406275133112147
19557842,1711936283,2024-04-01 01:51:23,0.25,0,770.846136240245,0.0031183015693764,9.61492286554277,3505.52,0.25,0.25,0.25311830256937645,0.0,0.0,-0.02787204636059086,-0.02787204636059086,-0.02849492434979232,-0.7720706989145539,-0.7729268195142854
19557843,1711936295,2024-04-01 01:51:35,0.0,0,0.0,0.0044216194469724,13.6335530664937,3505.52,0.0,0.0,0.0044216204469724,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21817174057433392,0.26845584948780987,0.2838503468984646
