Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label
19557363,1711930499,2024-04-01 00:14:59,0.677,0,2087.45133693858,0.0027029824516369,8.3343343166781,3505.52,0.677,0.677,0.0039925885489576,12.0,1.0,0.2983248739831261,0.2983248739831261,-0.4341368130434988,0.2684558494878098,0.2838503468984646,0.23600026205645688,0
19557363,1711930499,2024-04-01 00:14:59,0.0,0,0.0,0.0022868505485816,7.05123963813228,3505.52,0.0,0.0,2286850.5485816,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.0140821519844118,-0.7720706989145539,-0.7729268195142854,0.007308115091757965,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.00321138,9.90191945999679,3505.52,0.0,0.0,3211379.9999999995,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.1952884117608027,1.3089823978901738,1.3406275133112149,0.15489327225697477,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.006994596,21.5670292046459,3505.52,0.0,0.0,6994595.999999999,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.9367925577179153,-0.7720706989145539,-0.7729268195142854,0.19776006499241483,0
19557365,1711930523,2024-04-01 00:15:23,3.5,0,10791.8459073634,0.0047187602559091,14.5497524444465,3505.52,3.5,3.5,0.0013482172155888,0.0,0.0,2.454891398878473,2.454891398878473,-0.4341368135617913,-0.7720706989145539,-0.7729268195142854,0.6435516557190513,0
19557365,1711930523,2024-04-01 00:15:23,0.0,0,0.0,0.0058224873102052,17.9529673855184,3505.52,0.0,0.0,5822487.3102052,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.7070611723052919,-0.7720706989145539,-0.7729268195142854,0.13472028397711958,0
19557366,1711930535,2024-04-01 00:15:35,0.1,0,308.338454496098,0.0030269729373409,9.33332157301221,3505.52,0.1,0.1,0.0302697290707117,12.0,1.0,-0.1424611284485476,-0.1424611284485476,-0.4341368078932223,0.2684558494878098,0.2838503468984646,0.12384687779470573,0
19557366,1711930535,2024-04-01 00:15:35,0.0,0,0.0,0.0127281066321024,39.24564727604,3505.52,0.0,0.0,12728106.632102398,0.0,0.0,-0.2188538498405188,-0.2188538498405188,2.0605512605234417,-0.7720706989145539,-0.7729268195142854,0.4260620829314701,0
19557366,1711930535,2024-04-01 00:15:35,0.6,0,1850.03072697659,0.0023109954908975,7.12568778010809,3505.52,0.6,0.6,0.0038516591450764,0.0,0.0,0.2395024785113082,0.2395024785113082,-0.4341368130711208,-0.7720706989145539,-0.7729268195142854,0.21594101238278776,0
19557366,1711930535,2024-04-01 00:15:35,0.1,0,308.338454496098,0.0039762610636142,12.2603419102784,3505.52,0.1,0.1,0.0397626102385158,0.0,0.0,-0.1424611284485476,-0.1424611284485476,-0.4341368060326331,-0.7720706989145539,-0.7729268195142854,0.10851037416169128,0
