Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label,StatScore,TempScore,FinalScore,FraudFlag
19559893,1711961291,2024-04-01 08:48:11,0.0,0,0.0,0.0031045856007469,9.57263125985148,3505.52,0.0,0.0,3104585.6007469,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1743568842426349,0.2684558494878098,0.2838503468984646,0.0365327084809662,0,0.004560591414958089,0.052631579438917706,0.026963635846153258,0
19559894,1711961303,2024-04-01 08:48:23,0.916,0,2824.38024318426,0.0029444977896479,9.07901897727226,3505.52,0.916,0.916,0.0032145172340975,0.0,0.0,0.4809034781099372,0.4809034781099372,-0.4341368131959995,-0.7720706989145539,-0.7729268195142854,0.2873645030961508,0,0.031409877277426695,0.023919806503888766,0.13229371345020874,0
19559894,1711961303,2024-04-01 08:48:23,1.0,0,3083.38454496098,0.0029152176351438,8.9887370014002,3505.52,1.0,1.0,0.0029152176322285,12.0,1.0,0.545073364079193,0.545073364079193,-0.4341368132546618,0.2684558494878098,0.2838503468984646,0.2651048525084746,0,0.019903857675966547,0.021746686509663708,0.1183528213757092,0
19559894,1711961303,2024-04-01 08:48:23,1.0,0,3083.38454496098,0.0027094054500818,8.35413889081528,3505.52,1.0,1.0,0.0027094054473723,0.0,0.0,0.545073364079193,0.545073364079193,-0.4341368132950006,-0.7720706989145539,-0.7729268195142854,0.2880210340256449,0,0.03309004209536941,0.1196793543982694,0.1523803013280596,0
19559896,1711961327,2024-04-01 08:48:47,0.0,0,0.0,0.0041068249690324,12.6629206383744,3505.52,0.0,0.0,4106824.9690324,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.3707941605771438,-0.7720706989145539,-0.7729268195142854,0.0144149800048175,0,0.02289010739974488,0.052631579298603196,0.025448350821545593,0
19559896,1711961327,2024-04-01 08:48:47,0.0,0,0.0,0.0031678229576474,9.76761634878283,3505.52,0.0,0.0,3167822.9576474,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1867513027270911,-0.7720706989145539,-0.7729268195142854,0.0019401474385092,0,0.018071299798553674,0.05263157929110006,0.01853089475304516,0
19559896,1711961327,2024-04-01 08:48:47,3.0,0,9250.15363488294,0.0543258247522426,167.507408433324,3505.52,3.0,3.0,0.0181086082447113,24.0,2.0,2.072927791918617,2.072927791918617,-0.4341368102767821,1.3089823978901738,1.3406275133112149,0.6519214307205232,0,0.08715196445554417,0.30403148379701206,0.3564356548298294,1
19559897,1711961363,2024-04-01 08:49:23,0.0,0,0.0,0.0039638903088677,12.2221981162835,3505.52,0.0,0.0,3963890.3088677,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.3427792010524707,-0.7720706989145539,-0.7729268195142854,0.0125894999771194,0,0.02215658966653,0.052631579348898186,0.0244247517272394,0
19559897,1711961363,2024-04-01 08:49:23,0.0,0,0.0,0.0023184772160919,7.1487568159421,3505.52,0.0,0.0,2318477.2160919,36.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0202809270693381,2.3495089462925374,0.2838503468984646,0.2803137766880019,0,0.055014774729928564,0.052631579348898186,0.14465773643695184,0
19559897,1711961363,2024-04-01 08:49:23,0.0,0,0.0,0.0041313732467749,12.7386124185712,3505.52,0.0,0.0,4131373.2467749,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.3756055828491396,-0.7720706989145539,-0.7729268195142854,0.0161032287650579,0,0.02301608522082242,0.05263157933552743,0.026174041461457614,0
19559898,1711961375,2024-04-01 08:49:35,0.0,0,0.0,0.0031554443722665,9.72944840993072,3505.52,0.0,0.0,3155444.3722665,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1843251202460957,0.2684558494878098,0.2838503468984646,0.0345793523115111,0,0.0048215904669456485,0.05263157933552743,0.026286692978488187,0
19559898,1711961375,2024-04-01 08:49:35,0.1,0,308.338454496098,0.0028856134559752,8.8974559328854,3505.52,0.1,0.1,0.0288561342711906,0.0,0.0,-0.1424611284485476,-0.1424611284485476,-0.4341368081702846,-0.7720706989145539,-0.7729268195142854,0.1085103741616912,0,0.02254841636346926,0.03926482902937446,0.06027648201593908,0
19559901,1711961411,2024-04-01 08:50:11,0.0,0,0.0,0.002561891913023,7.89929793047582,3505.52,0.0,0.0,2561891.913023,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.0679898093962538,-0.7720706989145539,-0.7729268195142854,0.0097199802463342,0,0.01496175893683915,0.05263157933724663,0.020399011540718666,0
19559901,1711961411,2024-04-01 08:50:11,0.0,0,0.0,0.0021449158347718,6.61360033517771,3505.52,0.0,0.0,2144915.8347718,36.0,3.0,-0.2188538498405188,-0.2188538498405188,-0.0137368196907985,2.3495089462925374,2.397404679723965,0.3319422163835675,0,0.05484342988804173,0.05263157933724663,0.16524057437609302,0
19559903,1711961435,2024-04-01 08:50:35,0.5,0,1541.69227248049,0.0040995577735299,12.640513080077,3505.52,0.5,0.5,0.0081991155306615,24.0,2.0,0.1631097571193371,0.1631097571193371,-0.4341368122190264,1.3089823978901738,1.3406275133112149,0.3376288067478448,0,0.03714705928763156,0.012546847087377425,0.15241971583166602,0
19559903,1711961435,2024-04-01 08:50:35,0.622,0,1917.86518696573,0.0025995133497277,8.01529928697039,3505.52,0.622,0.622,0.0041792819060263,0.0,0.0,0.256308877217542,0.256308877217542,-0.4341368130069072,-0.7720706989145539,-0.7729268195142854,0.2262224689342683,0,0.025529300418748742,0.026280900713797656,0.10595688788396634,0
